"","X","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"1","M1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","M","M","ULR"
"2","M2",NA,NA,"M","M","M","M","M","M","M","M","M","M","M","M","YR"
"3","M3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULR","M","M","M","M","ULR"
"4","M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","M","M","M","M","ULR"
"5","M5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULR","M","M","M","Friche"
"6","OR1","M","ULR","YRU","YRM","YR","YR","YRU","YR","OR","OR","OR","OR","OR","OR","OR"
"7","OR2",NA,NA,NA,NA,"Pomelo","YRU","YRU","YR","OR","OR","OR","OR","OR","OR","OR"
"8","OR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR","OR","OR","OR","OR"
"9","OR4","M","YRM","YRM","YR","YR","OR","OR","OR","OR","OR","OR","OR","OR","OR","OR"
"10","OR5","","M","YRM","YRU","YRM","YR","OR","OR","OR","OR","OR","OR","OR","OR","OR"
"11","ULR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","ULR","ULR","Friche"
"12","ULR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULR","M","M","ULR","M","MLON"
"13","ULR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULR","ULR","M","ULR"
"14","ULR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","M","M","ULR","M","ULR"
"15","ULR5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULR","ULR","LON","LON"
"16","YR1",NA,NA,NA,NA,NA,NA,NA,"M","M","M","YRM","YRM","YRM","YRU","YR"
"17","YR2",NA,NA,NA,NA,NA,NA,NA,"M","M","M","YRM","YRM","YRM","YRU","YR"
"18","YR3",NA,NA,NA,NA,NA,NA,NA,NA,"ULR","M","YRM","YRM","YRM","YR","YR"
"19","YR4",NA,NA,NA,NA,NA,NA,"M","M","M","YRM","YRM","YRM","YRM","YR","YR"
"20","YR5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","ULR","YRU","YRM","YR","YR"
